"Qty"	"Value"	"Device"	"Parts"	"BOM"	"CAP_REV_V"	"CURRENT_AVG_RECT"	"CURRENT_DC"	"CURRENT_REV_LEAK"	"CURRENT_SAT"	"DCR_MAX"	"ESR"	"FINISH"	"FORWARD_CURRENT"	"FORWARD_VOLTAGE"	"IMPEDANCE"	"INTERFACE"	"LOCKING"	"MANUFACTURER"	"MANUFACTURER_PN"	"MAX_CURRENT"	"MOUNT_ANGLE"	"MOUNT_TYPE"	"MPN"	"OC_FARNELL"	"OC_NEWARK"	"OUTPUT_ACTIVE"	"OUTPUT_ACTIVE_TIME"	"OUTPUT_BITS"	"OUTPUT_TYPE"	"PACKAGE"	"PITCH"	"POSITIONS"	"POWER"	"PRESSURE_TYPE"	"RESOLUTION"	"ROWS"	"SHIELDED"	"STARTUP_DELAY"	"TEMP_COEFF"	"TIMEOUT"	"TOLERANCE"	"TP_SIGNAL_NAME"	"TYPE"	"VALUE"	"VENDOR"	"VENDOR_PN"	"VOLTAGE"	"VOLTAGE_DC_REV"	"VOLTAGE_FWD"
"1"	"100"	"RES_0R100_0603"	"R504"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF1000V"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	"1%"	""	""	"100"	"Digi-Key"	"P100HCT-ND"	""	""	""
"21"	"0.0"	"RES_0R0_0805"	"R505, R801, R802, R803, R804, R805, R807, R901, R902, R903, R904, R905, R906, R907, R908, R911, R914, R1105, R1106, R1111, R1112"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-6GEY0R00V"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1/8W"	""	""	""	""	""	""	""	"JUMPER"	""	""	"0.0"	"Digi-Key"	"P0.0ACT-ND"	""	""	""
"1"	"30.1k"	"RES_30R1_0603"	"R506"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF3012V"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	"1%"	""	""	"30.1k"	"Digi-Key"	"P30.1KHCT-ND"	""	""	""
"1"	"0.016"	"RES_0R016_1206"	"R507"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-8CWFR016V"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1W"	""	""	""	""	""	""	""	"1%"	""	""	"0.016"	"Digi-Key"	"P0.016BVCT-ND"	""	""	""
"1"	"84.5k"	"RES_84R5_0603"	"R508"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF8452V"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	"1%"	""	""	"84.5k"	"Digi-Key"	"P84.5KHCT-ND"	""	""	""
"1"	"33.2k"	"RES_33R2_0603"	"R601"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF3322V"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	"1%"	""	""	"33.2k"	"Digi-Key"	"P33.2KHCT-ND"	""	""	""
"1"	"10"	"RES_0R10_0603"	"R701"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF10R0V"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	"1%"	""	""	"10"	"Digi-key"	"P10.0HCT-ND"	""	""	""
"1"	"390"	"RES_0R390_0603"	"R702"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-6ENF3900V"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1/8W"	""	""	""	""	""	""	""	"1%"	""	""	"390"	"Digi-Key"	"P390CCT-ND"	""	""	""
"2"	"1k"	"RES_1R0_0603"	"R806, R808"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF1001V"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	"1%"	""	""	"1k"	"Digi-key"	"P1.00KHCT-ND"	""	""	""
"4"	"4.7k"	"RES_4R7_0603"	"R913, R916, R917, R918"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF4701V"	""	""	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	"1%"	""	""	"4.7k"	"Digi-Key"	"P4.70KHCT-ND"	""	""	""
