"Qty"	"Value"	"Device"	"Parts"	"BOM"	"CAP_REV_V"	"CURRENT_AVG_RECT"	"CURRENT_DC"	"CURRENT_REV_LEAK"	"CURRENT_SAT"	"DCR_MAX"	"ESR"	"FINISH"	"FORWARD_CURRENT"	"FORWARD_VOLTAGE"	"IMPEDANCE"	"INTERFACE"	"LOCKING"	"MANUFACTURER"	"MANUFACTURER_PN"	"MAX_CURRENT"	"MOUNT_ANGLE"	"MOUNT_TYPE"	"MPN"	"OC_FARNELL"	"OC_NEWARK"	"OUTPUT_ACTIVE"	"OUTPUT_ACTIVE_TIME"	"OUTPUT_BITS"	"OUTPUT_TYPE"	"PACKAGE"	"PITCH"	"POSITIONS"	"POWER"	"PRESSURE_TYPE"	"RESOLUTION"	"ROWS"	"SHIELDED"	"STARTUP_DELAY"	"TEMP_COEFF"	"TIMEOUT"	"TOLERANCE"	"TP_SIGNAL_NAME"	"TYPE"	"VALUE"	"VENDOR"	"VENDOR_PN"	"VOLTAGE"	"VOLTAGE_DC_REV"	"VOLTAGE_FWD"
"4"	"MOL-SL-2-RA"	"MOLSL_2PIN_SL2RA_RA"	"J1202, J1208, J1212, J1213"	""	""	""	""	""	""	""	""	"GOLD"	""	""	""	""	"YES"	"Molex"	"0705530001"	"3.0A"	"RIGHT"	"TH"	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	"MOL-SL-2-RA"	"Digi-key"	"WM4900-ND"	""	""	""
"1"	"MOL-SL-5-RA"	"MOLSL_5PIN_SL4RA_RA"	"J1207"	""	""	""	""	""	""	""	""	"GOLD"	""	""	""	""	"YES"	"Molex"	"0705530004"	"3.0A"	"RIGHT"	"TH"	""	""	""	""	""	""	""	""	""	"5"	""	""	""	""	""	""	""	""	""	""	""	"MOL-SL-5-RA"	"Digi-key"	"WM4903-ND"	""	""	""
"4"	"MOL-MINIJR-2P-RA"	"39-30-02?"	"J1209, J1210, J1215, J1216"	""	""	""	""	""	""	""	""	"GOLD"	""	""	""	""	"YES"	"Molex"	"0039301021"	"13.0A"	"RIGHT"	"TH"	""	""	""	""	""	""	""	""	""	"2"	""	""	""	""	""	""	""	""	""	""	""	"MOL-MINIJR-2P-RA"	"Digi-Key"	"WM1363-ND"	""	""	""
"1"	"RECEPTACLE-2x2-254MM"	"RECEPTACLE-2X2-254MM"	"J1214"	""	""	""	""	""	""	""	""	"Gold"	""	""	""	""	""	"Sullins Connector Solutions"	"PPPC022LFBN-RC"	"3A"	"Vertical"	"TH"	""	""	""	""	""	""	""	""	"2.54mm"	"4"	""	""	""	"2"	""	""	""	""	""	""	""	"RECEPTACLE-2x2-254MM"	"Digi-Key"	"S7105-ND"	""	""	""
"1"	"RECEPTACLE-2x20-254MM"	"RECEPTACLE-2X20-254MM"	"J1217"	""	""	""	""	""	""	""	""	"Gold"	""	""	""	""	""	"Sullins Connector Solutions"	"SFH11-PBPC-D20-ST-BK"	"3A"	"Vertical"	"TH"	""	""	""	""	""	""	""	""	"2.54mm"	"40"	""	""	""	"2"	""	""	""	""	""	""	""	"RECEPTACLE-2x20-254MM"	"Digi-Key"	"S9200-ND"	""	""	""
"2"	"4.7uH"	"L_4UH7"	"L401, L602"	""	""	""	"3A"	""	"4A"	"37.6mOHM"	""	""	""	""	""	""	""	"Bourns Inc."	"SRN6045-4R7Y"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes"	""	""	""	"30%"	""	"Wirewound"	"4.7uH"	"Digi-Key"	"SRN6045-4R7YCT-ND"	""	""	""
"1"	"10uH"	"L_10UH0-"	"L501"	""	""	""	"4.5A"	""	"3.7A"	"18.5mOHM"	""	""	""	""	""	""	""	"Bourns Inc"	"SRU1048-100Y"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes"	""	""	""	"30%"	""	"Wirewound"	"10uH"	"Digi-key"	"SRU1048-100YCT-ND"	""	""	""
"1"	"68uH"	"L_68UH0-680-R"	"L502"	""	""	""	"5.2A"	""	"6.5A"	"85 mOhm"	""	""	""	""	""	""	""	"Eaton"	"HCMA1707-680-R"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes"	""	""	""	"20%"	""	"Wirewound"	"68uH"	"Digi-Key"	"283-4574-1-ND"	""	""	""
"1"	"3.3uH"	"L_3UH3"	"L601"	""	""	""	"3.2A"	""	"5A"	"30.2mOHM"	""	""	""	""	""	""	""	"Bourns Inc."	"SRN6045-3R3Y"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Yes"	""	""	""	"30%"	""	"Wirewound"	"3.3uH"	"Digi-Key"	"SRN6045-3R3YCT-ND"	""	""	""
"1"	"27nH"	"L_27NH0_0603"	"L701"	""	""	""	"300mA"	""	"-"	"0.550mOHM"	""	""	""	""	""	""	""	"Murata"	"LQG18HN27NJ00D"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Unshielded"	""	""	""	"5%"	""	"CHIP"	"27nH"	"Digikey"	"490-6579-1-ND"	""	""	""
"2"	"LTST-C170CKT"	"LEDCHIP-LED0805"	"LED701, LED1201"	""	""	""	""	""	""	""	""	""	"10mA"	"1.8"	""	""	""	"Lite-On"	"LTST-C170CKT"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LTST-C170CKT"	"Digi-Key"	"160-1176-1-ND"	""	""	""
"6"	"50-57-9403"	"MOLSL_HOUSING_3"	"OFFBOARD1, OFFBOARD7, OFFBOARD11, OFFBOARD30, OFFBOARD34, OFFBOARD38"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Molex"	"50-57-9403"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"50-57-9403"	"Digi-Key"	"WM2901-ND"	""	""	""
"31"	"0016020087"	"MOLSL_CRIMP"	"OFFBOARD2, OFFBOARD4, OFFBOARD8, OFFBOARD10, OFFBOARD12, OFFBOARD14, OFFBOARD16, OFFBOARD17, OFFBOARD18, OFFBOARD19, OFFBOARD20, OFFBOARD21, OFFBOARD22, OFFBOARD23, OFFBOARD24, OFFBOARD25, OFFBOARD26, OFFBOARD27, OFFBOARD28, OFFBOARD29, OFFBOARD31, OFFBOARD32, OFFBOARD33, OFFBOARD35, OFFBOARD36, OFFBOARD37, OFFBOARD39, OFFBOARD40, OFFBOARD41, OFFBOARD43, OFFBOARD44"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Molex"	"0016020087"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0016020087"	"Digi-Key"	"WM2512CT-ND"	""	""	""
"1"	"0050579405"	"MOLSL_HOUSING_5"	"OFFBOARD3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Molex"	"0050579405"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0050579405"	"Digi-Key"	"WM2903-ND"	""	""	""
"1"	"67996-104HLF"	"CONNECTOR-2X2-254MM"	"OFFBOARD5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Amphenol FCI"	"67996-104HLF"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"67996-104HLF"	"Digi-Key"	"609-3201-ND"	""	""	""
"1"	"PRPC020DAAN-RC"	"CONNECTOR-2X20-254MM"	"OFFBOARD6"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Sullins"	"PRPC020DAAN-RC"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PRPC020DAAN-RC"	"Digi-Key"	"S2011EC-20-ND"	""	""	""
