"Qty";"Value";"Device";"Package";"Parts";"Description";"CONTACTS";"CURRENT_RATING";"DATASHEET";"DC_RESTISTANCE";"FINISH";"FORWARD_CURRENT";"FORWARD_VOLTAGE";"FREQUENCY";"INTERFACE";"IOUT";"LOAD_CAP";"LOCKING";"MANUFACTURER";"MANUFACTURER_PN";"MAX_CURRENT";"MOUNT_ANGLE";"MOUNT_TYPE";"OC_FARNELL";"OC_NEWARK";"OUTPUT_BITS";"PACKAGE";"POSITIONS";"POWER";"PRESSURE_TYPE";"PROD_ID";"REFDES";"RESOLUTION";"TEMP_COEFF";"TOLERANCE";"TP_SIGNAL_NAME";"TYPE";"VALUE";"VENDOR";"VENDOR_PN";"VIN";"VOLTAGE";"VOUT";
"1";"LP5907_DBV_5";"LP5907_DBV_5";"DBV5";"U6";"";"";"";"";"";"";"";"";"";"";"250mA";"";"";"Texas Instruments";"lp5907_dbv_5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Digi-key";"296-38557-1-ND";"5.5V";"";"+3V3";
"1";"LSM9DS1";"LSM9DS1";"LGA24-8X4";"U10";"LSM9DS1 3D accelerometer, gyroscope & magnetometer";"";"";"";"";"";"";"";"";"";"";"";"";"STMicroelectronics";"LSM9DS1TR";"";"";"";"";"";"";"";"";"";"";"IC-12536";"";"";"";"";"";"";"";"Digi-key";"497-14946-1-ND ";"";"";"";
"1";"MCP73831T";"MCP73831T-2ATI/OT";"SOT23P110X060-5N";"U7";"IC, BATT CHARGER, Li-Ion Li-Polymer, 500 mA";"";"";"";"";"";"";"";"";"";"";"";"";"Microchip";"MCP73831T-2ATI/OT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MCP73831T";"Digi-key";"MCP73831T-2ATI/OTCT-ND";"";"";"";
"1";"MICROSD";"MICROSD";"MICROSD";"U$1";"Micro-SD / Transflash card holder with SPI pinout";"";"";"";"";"";"";"";"";"";"";"";"";"3M";"2908-05WB-MG";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Digi-key";"3M5607CT-ND";"";"";"";
"6";"MM3Z3V3B";"MM3Z3V3B";"MM3Z3V3B";"Z1, Z2, Z3, Z4, Z5, Z6";"";"";"";"";"";"";"";"";"";"";"";"";"";"Farichild/ON Semiconductor";"MM3Z3V3B";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"MM3Z3V3B";"Digi-key";"MM3Z3V3BCT-ND";"";"";"";
"2";"MOL-SL-2-RA";"MOLSL_2PIN_SL2RA_RA";"MOLSL-2-RA";"J13, J16";"Molex SL Series 2-Position Connector";"";"";"";"";"GOLD";"";"";"";"";"";"";"YES";"Molex";"0705530001";"3.0A";"RIGHT";"TH";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"MOL-SL-2-RA";"Digi-key";"WM4900-ND";"";"";"";
"1";"MOL-SL-2-V";"MOLSL_2PIN_SL2V_V";"MOLSL-2-V";"J11";"Molex SL Series 2-Position Connector";"";"";"";"";"GOLD";"";"";"";"";"";"";"YES";"Molex";"0705430001";"3.0A";"VERTICAL";"TH";"";"";"";"";"2";"";"";"";"";"";"";"";"";"";"MOL-SL-2-V";"Digi-key";"WM4800-ND";"";"";"";
"1";"MOL-SL-3-RA";"MOLSL_3PIN_SL3RA_RA";"MOLSL-3-RA";"J8";"Molex SL Series 3-Position Connector";"";"";"";"";"GOLD";"";"";"";"";"";"";"YES";"Molex";"0705530002";"3.0A";"RIGHT";"TH";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";"MOL-SL-3-RA";"Digi-key";"WM4901-ND";"";"";"";
"2";"MOL-SL-3-V";"MOLSL_3PIN_SL3V_V";"MOLSL-3-V";"J6, J10";"Molex SL Series 3-Position Connector";"";"";"";"";"GOLD";"";"";"";"";"";"";"YES";"Molex";"0705430002";"3.0A";"VERTICAL";"TH";"";"";"";"";"3";"";"";"";"";"";"";"";"";"";"MOL-SL-3-V";"Digi-key";"WM4801-ND";"";"";"";
"5";"MOL-SL-4-RA";"MOLSL_4PIN_SL4RA_RA";"MOLSL-4-RA";"J1, J2, J3, J4, J9";"Molex SL Series 4-Position Connector";"";"";"";"";"GOLD";"";"";"";"";"";"";"YES";"Molex";"0705530003";"3.0A";"RIGHT";"TH";"";"";"";"";"4";"";"";"";"";"";"";"";"";"";"MOL-SL-4-RA";"Digi-key";"WM4902-ND";"";"";"";
"1";"MOL-SL-5-RA";"MOLSL_5PIN_SL4RA_RA";"MOLSL-5-RA";"J5";"Molex SL Series 5-Position Connector";"";"";"";"";"GOLD";"";"";"";"";"";"";"YES";"Molex";"0705530004";"3.0A";"RIGHT";"TH";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"MOL-SL-5-RA";"Digi-key";"WM4903-ND";"";"";"";
"1";"MOL-SL-5-V";"MOLSL_5PIN_SL4V_V";"MOLSL-5-V";"J7";"Molex SL Series 5-Position Connector";"";"";"";"";"GOLD";"";"";"";"";"";"";"YES";"Molex";"0705430004";"3.0A";"VERTICAL";"TH";"";"";"";"";"5";"";"";"";"";"";"";"";"";"";"MOL-SL-5-V";"Digi-key";"WM4803-ND";"";"";"";
"1";"MOLSL-7-RA";"MOLSL_7PIN_RA";"MOLSL-7-RA";"J18";"Molex SL Series 6-Position Connector";"";"";"";"";"Gold";"";"";"";"";"";"";"Yes";"Molex";"70553-0111";"3.0A";"Right";"TH";"";"";"";"";"7";"";"";"";"";"";"";"";"";"";"MOLSL-7-RA";"Digi-key";"WM4158-ND";"";"";"";
"4";"MOUNT-HOLE_2.75";"MOUNT-HOLE_2.75";"2,75_HOLE_RASPI";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MS560702BA03-50";"MS5607-02BA03_8SMD";"SMD125P110X060-8N";"U4";"Barometric Pressure Sensor, with stainless steel cap";"";"";"";"";"";"";"";"";"I2C,SPI";"";"";"";"TE Connectivity";"MS560702BA03-50";"";"";"";"";"";"24b";"";"";"";"Absolute";"";"";"";"";"";"";"";"MS560702BA03-50";"Digi-key";"223-1198-1-ND";"";"";"";
"2";"MSP430FR4994";"MSP430FR5994IPNR";"PN0080A_N";"U1, U2";"";"";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"MSP430FR5994IPNR";"";"";"";"";"";"";"";"";"";"";"";"RefDes";"";"";"";"";"TYPE";"MSP430FR4994";"";"";"";"";"";
"1";"NTD2955T4G";"NTD2955T4G";"NTD2955T4G";"U$7";"";"";"";"";"";"";"";"";"";"";"";"";"";"ON Semiconductor";"NTD2955T4G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Digi-key";"NTD2955T4GOSCT-ND ";"";"";"";
"1";"PCT2075D,118";"PCT2075D,118SOIC8";"SOIC127P130X0600-8N";"U3";"I2C-bus Fm+, 1 degree C accuracy, digital temperature sensor and thermal watchdog";"";"";"";"";"";"";"";"";"I2C";"";"";"";"NXP";"PCT2075D,118";"";"";"";"";"";"";"";"";"";"";"";"";"10b";"";"";"";"";"PCT2075D,118";"Digi-key";"568-10219-1-ND";"";"";"";
"49";"SL 70058 GOLD CRIMP";"BOM_LINE_ITEM_BLI6";"BLANK";"BOM5, BOM6, BOM7, BOM8, BOM9, BOM10, BOM11, BOM12, BOM13, BOM14, BOM15, BOM16, BOM17, BOM18, BOM19, BOM20, BOM22, BOM23, BOM24, BOM25, BOM26, BOM28, BOM29, BOM30, BOM32, BOM33, BOM35, BOM36, BOM37, BOM38, BOM39, BOM41, BOM42, BOM43, BOM45, BOM46, BOM47, BOM48, BOM50, BOM51, BOM53, BOM54, BOM56, BOM57, BOM58, BOM59, BOM60, BOM61, BOM62";"";"";"";"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/016020087_sd.pdf";"";"";"";"";"";"";"";"";"";"Molex";"0016020087";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SL 70058 GOLD CRIMP";"Digi-key";"WM2512CT-ND";"";"";"";
"3";"SL 70066 2PIN HOUSING";"BOM_LINE_ITEM_BLI2";"BLANK";"BOM31, BOM49, BOM52";"";"";"";"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/050579402_sd.pdf";"";"";"";"";"";"";"";"";"";"Molex";"50-57-9402";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SL 70066 2PIN HOUSING";"Digi-key";"WM2900-ND";"";"";"";
"2";"SL 70066 3PIN HOUSING";"BOM_LINE_ITEM_BLI3";"BLANK";"BOM27, BOM40";"";"";"";"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/050579402_sd.pdf";"";"";"";"";"";"";"";"";"";"Molex";"50-57-9403";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SL 70066 3PIN HOUSING";"Digi-key";"WM2901-ND";"";"";"";
"5";"SL 70066 4PIN HOUSING";"BOM_LINE_ITEM_BLI4";"BLANK";"BOM1, BOM2, BOM3, BOM4, BOM44";"";"";"";"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/050579402_sd.pdf";"";"";"";"";"";"";"";"";"";"Molex";"0050579404";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SL 70066 4PIN HOUSING";"Digi-key";"WM2902-ND";"";"";"";
"2";"SL 70066 5PIN HOUSING";"BOM_LINE_ITEM_BLI5";"BLANK";"BOM21, BOM34";"";"";"";"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/uart_1wire_power_battery/050579402_sd.pdf";"";"";"";"";"";"";"";"";"";"Molex";"0050579405";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SL 70066 5PIN HOUSING";"Digi-key";"WM2903-ND";"";"";"";
"1";"SL 70066 7PIN HOUSING";"BOM_LINE_ITEM_BL12";"BLANK";"BOM55";"";"";"";"";"";"";"";"";"";"";"";"";"";"Molex";"  0050579407";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"SL 70066 7PIN HOUSING";"Digi-key";"WM2905-ND ";"";"";"";
"2";"SWITCH-MOMENTARY-2PTH";"SWITCH-MOMENTARY-2PTH";"TACTILE-PTH";"S1, S2";"Various NO switches- pushbuttons, reed, etc";"";"";"";"";"";"";"";"";"";"";"";"";"Omron Electronics";"B3F-1000";"";"";"";"";"";"";"";"";"";"";" SWCH-08441";"";"";"";"";"";"";"";"Digi-key";"SW400-ND";"";"";"";
"1";"TCLD1000";"TCLD1000";"TCLD1000";"U$6";"";"";"";"";"";"";"";"";"";"";"";"";"";"Vishay Semiconductor";"TCLD1000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Digi-key";"TCLD1000CT-ND";"";"";"";
"1";"TPS61240DRVR";"TPS61240DRVR";"SON65P200X200X80-7N";"U5";"3.5-MHz High Efficiency Step-Up Converter";"";"";"";"";"";"";"";"";"";"";"";"";"Texas Instruments";"TPS61240DRVR";"";"";"";"-";"25R0113";"";"SON-6";"";"";"";"";"";"";"";"";"";"";"";"Digi-key";"296-39437-1-ND";"";"";"";
"1";"USB_MICROB_RECPT";"USB_B_MICRO_RIGHT";"MICROUSB-RIGHT";"J14";"Description: 5 Pin USB Connectors. SLD is the shield connection. Usually tied to ground through a small ferrite bead.";"5";"";"";"";"";"";"";"";"";"";"";"";"Amphenol";"10118193-0001LF";"";"RIGHT";"TH/SMD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"USB_MICROB_RECPT";"Digi-key";"609-4616-1-ND";"";"";"";
"1";"YELLOW";"LED_Y2V0WURTH_0603";"LED0603";"DS1";"Chip LED";"";"";"";"";"";"20mA";"2.0V";"";"";"";"";"";"Wurth";"150060YS75000";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"YELLOW";"Digi-key";"732-4981-1-ND";"";"";"";
