Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Contact Timing","Switch Function","Current Rating","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Actuator Length","Contact Material","Contact Finish","Mounting Type","Termination Style","Features"
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1437575-4&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Alcoswitch%20Photos/SSA12G.jpg,450-1603-ND,SSA12G,TE Connectivity ALCOSWITCH Switches,SWITCH SLIDE SPDT 0.4VA 20V,3397,0,"2.78000","0","1","Bulk","SSA","Active","SPDT","Not Specified","On-On","0.4VA (AC/DC)","20V","20V","Standard","2.00mm","Copper Alloy","Gold","Through Hole","PC Pin","Epoxy Sealed Terminals"
http://switches-connectors-custom.cwind.com/Asset/GS-111-0044-Dimension-drawing.pdf,//media.digikey.com/Photos/CW%20Ind%20Photos/GS-111-0044.JPG,CWI420-ND,GS-111-0044,CW Industries,SWITCH SLIDE SPDT 500MA 125V,438,0,"2.79000","0","1","Bulk","GS","Active","SPDT","Not Specified","On-On","500mA (AC/DC)","125V","125V","Standard","6.35mm","Copper Alloy","Silver","Through Hole","PC Pin","-"
http://spec_sheets.e-switch.com/specs/T511006.pdf,//media.digikey.com/photos/E-Switch%20Photos/500SSP1S1M6QEA.jpg,EG2478-ND,500SSP1S1M6QEA,E-Switch,SWITCH SLIDE SPDT 5A 120V,10579,0,"2.93000","0","1","Bulk","500","Active","SPDT","Not Specified","On-On","5A (AC/DC)","120V","28V","Standard","4.72mm","Copper Alloy","Silver","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://spec_sheets.e-switch.com/specs/T511069.pdf,//media.digikey.com/Photos/E-Switch%20Photos/500SSP1S1M6QEB.jpg,500SSP1S1M6QEB-ND,500SSP1S1M6QEB,E-Switch,SWITCH SLIDE SPDT 5A 120V,266,0,"2.93000","0","1","Bulk","500","Active","SPDT","Not Specified","On-On","5A (AC/DC)","120V","28V","Standard","4.72mm","Copper Alloy","Silver","Panel Mount, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825258&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Alcoswitch%20Photos/MSS1200RG04.jpg,450-1631-ND,1825258-2,TE Connectivity ALCOSWITCH Switches,SWITCH SLIDE SPDT 0.4VA 20V,1680,0,"2.94000","0","1","Bulk","MSS","Active","SPDT","Shorting (MBB)","On-On","0.4VA (AC/DC)","20V","20V","Standard","4.00mm","Copper Alloy","Gold","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://spec_sheets.e-switch.com/specs/T511012.pdf,//media.digikey.com/photos/E-Switch%20Photos/500SSP1S1M7QEA.jpg,EG2480-ND,500SSP1S1M7QEA,E-Switch,SWITCH SLIDE SPDT 5A 120V,533,0,"3.01000","0","1","Bulk","500","Active","SPDT","Not Specified","On-On","5A (AC/DC)","120V","28V","Standard","4.72mm","Copper Alloy","Silver","Through Hole, Right Angle, Vertical","PC Pin","Epoxy Sealed Terminals"
http://www.nkkswitches.com/pdf/SS3surfaceMount-1.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_SS312SAH4-RO.jpg,360-3250-ND,SS312SAH4,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,15872,0,"3.02000","0","1","Tray","SS3","Active","SPDT","Shorting (MBB)","On-On","0.4VA (AC/DC)","28V","28V","Standard","2.00mm","Phosphor Bronze","Gold","Surface Mount, Right Angle","Gull Wing","-"
http://spec_sheets.e-switch.com/specs/T511001.pdf,//media.digikey.com/photos/E-Switch%20Photos/500SSP1S1M6REA.jpg,EG2477-ND,500SSP1S1M6REA,E-Switch,SWITCH SLIDE SPDT 0.4VA 20V,1988,0,"3.05000","0","1","Bulk","500","Active","SPDT","Not Specified","On-On","0.4VA (AC/DC)","20V","20V","Standard","4.72mm","Copper Alloy","Gold","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1825076&DocType=Customer+Drawing&DocLang=English,//media.digikey.com/photos/Tyco%20Alcoswitch%20Photos/SLS12104%20.jpg,450-1596-ND,1825076-1,TE Connectivity ALCOSWITCH Switches,SWITCH SLIDE SPDT 250MA 125V,248,0,"3.08000","0","1","Bulk","SLS","Active","SPDT","Non-Shorting (BBM)","On-On","250mA (AC), 150mA (DC)","125V","12V","Standard","5.00mm","Copper Alloy","Silver","Panel Mount","Solder Lug","Epoxy Sealed Terminals"
http://www.nkkswitches.com/pdf/SS3surfaceMount-1.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/SS312SAH4-R.jpg,360-2924-1-ND,SS312SAH4-R,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,6053,0,"3.33000","0","1","Cut Tape (CT)","SS3","Active","SPDT","Shorting (MBB)","On-On","0.4VA (AC/DC)","28V","28V","Standard","2.00mm","Phosphor Bronze","Gold","Surface Mount, Right Angle","Gull Wing","-"
