"Qty"	"Value"	"Device"	"Package"	"Parts"	"CONTACTS"	"CONTINUOUS_DRAIN_CURRENT"	"CURRENT_SAT"	"CURREN_DC"	"DCR_MAX"	"ELEMENTS"	"FET_TYPE"	"FINISH"	"FORWARD_CURRENT"	"FORWARD_VOLTAGE"	"INPUT_TYPE"	"INTERFACE"	"INTERNAL_REF"	"LOCKING"	"LOGIC_TYPE"	"MANUFACTURER"	"MANUFACTURER_PN"	"MAX_CURRENT"	"MAX_DC_CURRENT"	"MAX_DC_VOLTAGE"	"MAX_OUTPUT_CURRENT"	"MOUNT_ANGLE"	"MOUNT_TYPE"	"OUTPUT_BITS"	"OUTPUT_TYPE"	"PITCH"	"POSITIONS"	"POWER"	"POWER_MAX"	"PRESSURE_TYPE"	"RDS_ON_MAX"	"RESOLUTION"	"ROWS"	"SAMPLE_RATE"	"SHIELDED"	"SHROUDED"	"TEMP_COEFF"	"TERMINALS"	"TOLERANCE"	"TP_SIGNAL_NAME"	"TYPE"	"VALUE"	"VDS"	"VENDOR"	"VENDOR_PN"	"VGS_MAX"	"VOLTAGE"
"1"	"820k"	"RES_820R0_0603"	"R0603"	"R8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-PA3F8203V"	""	""	""	""	""	""	""	""	""	""	"1/4W"	""	""	""	""	""	""	""	""	""	""	"1%"	""	""	"820k"	""	"Digi-key"	"P820KBYCT-ND"	""	""
"2"	"49.9"	"RES_0R499_0603"	"R0603"	"R9, R27"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF49R9V"	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	""	""	""	"1%"	""	""	"49.9"	""	"Digi-key"	"P49.9HCT-ND"	""	""
"4"	"2k"	"RES_2R0_0603"	"R0603"	"R10, R11, R23, R24"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF2001V"	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	""	""	""	"1%"	""	""	"2k"	""	"Digi-key"	"P2.00KHCT-ND"	""	""
"3"	"1k"	"RES_1R0_0603"	"R0603"	"R12, R13, R14"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF1001V"	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	""	""	""	"1%"	""	""	"1k"	""	"Digi-key"	"P1.00KHCT-ND"	""	""
"3"	"10k"	"RES_10R0_0603"	"R0603"	"R16, R28, R29"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF1002V"	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	""	""	""	"1%"	""	""	"10k"	""	"Digi-key"	"P10.0KHCT-ND"	""	""
"1"	"4.7k"	"RES_4R7_0603"	"R0603"	"R25"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF4701V"	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	""	""	""	""	""	""	""	""	"1%"	""	""	"4.7k"	""	"Digi-key"	"P4.70KHCT-ND"	""	""
"7"	""	"TEST_POINT_TP10R_SMD_10R_SMD"	"TP10R"	"TP1, TP2, TP3, TP4, TP5, TP6, TP7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	"BUFFER-1-SCHMITT"	"BUFFER-1-SCHMITT_BUF1_TSSOP5"	"TSSOP5"	"U1"	""	""	""	""	""	"1"	""	""	""	""	"Schmitt Trigger"	""	""	""	"Buffer, Non-Inverting"	"NXP"	"74LVC1G17GW,125"	""	""	""	"+/-32mA"	""	""	""	"Push-Pull"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"BUFFER-1-SCHMITT"	""	"Digi-key"	"568-4613-1-ND"	""	""
"1"	"TPS61089RNRR"	"TPS61089RNRR"	"RNR0011A"	"U2"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Texas Instruments"	"TPS61089RNRR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TPS61089RNRR"	""	"Arrow"	"TPS61089RNRR"	""	""
"1"	"INA219AIDCNR"	"INA219AIDCNR"	"SOT65P110X045-8N"	"U3"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Texas Instruments"	"INA219AIDCNR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"INA219AIDCNR"	""	"Digi-key"	"296-23770-1-ND"	""	""
"1"	"MCP73831T"	"MCP73831T-2ATI/OT"	"SOT23P110X060-5N"	"U4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Microchip"	"MCP73831T-2ATI/OT"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MCP73831T"	""	"Digi-key"	"MCP73831T-2ATI/OTCT-ND"	""	""
"1"	"MS560702BA03-50"	"MS5607-02BA03_8SMD"	"SMD125P110X060-8N"	"U5"	""	""	""	""	""	""	""	""	""	""	""	"I2C,SPI"	""	""	""	"TE Connectivity"	"MS560702BA03-50"	""	""	""	""	""	""	"24b"	""	""	""	""	""	"Absolute"	""	""	""	""	""	""	""	""	""	""	""	"MS560702BA03-50"	""	"Digi-key"	"223-1198-1-ND"	""	""
"1"	"PCT2075D,118"	"PCT2075D,118SOIC8"	"SOIC127P130X0600-8N"	"U6"	""	""	""	""	""	""	""	""	""	""	""	"I2C"	""	""	""	"NXP"	"PCT2075D,118"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10b"	""	""	""	""	""	""	""	""	""	"PCT2075D,118"	""	"Digi-key"	"568-10219-1-ND"	""	""
"1"	"SSCMNNN015PA2A3"	"SSCMNNN015PA2A3_8SMD"	"SMD254P205X116-8N"	"U7"	""	""	""	""	""	""	""	""	""	""	""	"I2C"	""	""	""	"Honeywell"	"SSCMNNN015PA2A3"	""	""	""	""	""	""	"12b"	""	""	""	""	""	"Absolute"	""	""	""	""	""	""	""	""	""	""	""	"SSCMNNN015PA2A3"	""	"Digi-key"	"480-5204-ND"	""	""
"1"	"MAX11613EUA+"	"MAX11613EUA+"	"SOP65P135X040-8N"	"U8"	""	""	""	""	""	""	""	""	""	""	""	""	"2.048V"	""	""	"Maxim"	"MAX11613EUA+"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"12b"	""	"94.4k"	""	""	""	""	""	""	""	"MAX11613EUA+"	""	"Digi-key"	"MAX11613EUA+-ND"	""	""
