"Qty"	"Value"	"Device"	"Package"	"Parts"	"Description"	"ACCURACY"	"ACTUATOR_HEIGHT"	"ACUTATOR_ORIENTATION"	"CIRCUIT"	"CLIPPING"	"COLOR"	"CONTACTS"	"CONTACT_RATING"	"CONTINUOUS_DRAIN_CURRENT"	"CURRENT_DC"	"CURRENT_RATING"	"CURRENT_SAT"	"DATASHEET"	"DCR_MAX"	"DC_COLD_RESISTANCE"	"DIAMETER"	"DRILL"	"FET_TYPE"	"FINISH"	"FORWARD_CURRENT"	"FORWARD_VOLTAGE"	"FUNCTION"	"HEIGHT_BOTTOM"	"HEIGHT_TOP"	"INSULATED"	"INTERFACE"	"LOCKING"	"MANUFACTURER"	"MANUFACTURER_PN"	"MAX_CURRENT"	"MOUNTING_TYPE"	"MOUNT_ANGLE"	"MOUNT_TYPE"	"OUTPUT_ACTIVE"	"OUTPUT_ACTIVE_TIME"	"OUTPUT_BITS"	"OUTPUT_TYPE"	"PITCH"	"PLATING"	"POSITIONS"	"POWER"	"POWER_MAX"	"PRESSURE_TYPE"	"RATED_CURRENT"	"RDS_ON_MAX"	"RESOLUTION"	"RESPONSE_TIME"	"ROWS"	"SHIELDED"	"SRF"	"STARTUP_DELAY"	"SWITCH_FUNCTION"	"TEMP_COEFF"	"TERMINALS"	"TIMEOUT"	"TOLERANCE"	"TP_SIGNAL_NAME"	"VALUE"	"VDS"	"VENDOR"	"VENDOR_PN"	"VGS_MAX"	"VOLTAGE"	"VOLTAGE_RATING"	"_EXTERNAL_"	"VENDOR_PN"	"VGS_MAX"	"VOLTAGE"	"VOLTAGE_RATING"	"_EXTERNAL_"
"1"	"0.033"	"RES_SNS_0RS033"	"RS1206"	"R402"	"Chip Resistor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/res_lvk.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Ohmite"	"LVK12R033DER"	""	""	""	""	""	""	""	""	""	""	""	"1/2W"	""	""	""	""	""	""	""	""	""	""	""	""	"4"	""	"0.5%"	""	"0.033"	""	"Digi-key"	"LVK12R033DERCT-ND"	""	""	""	""	""	""	""	""	""
"2"	"0.0"	"RES_0R0_0805_0805"	"R0805"	"R408, R409"	"Chip Resistor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/AOA0000C281.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-6GEY0R00V"	""	""	""	""	""	""	""	""	""	""	""	"1/8W"	""	""	"2.0A"	""	""	""	""	""	""	""	""	""	""	""	"Jumper"	""	"0.0"	""	"Digi-key"	"P0.0ACT-ND"	""	""	""	""	""	""	""	""	""
"1"	"4.7k"	"RES_4R7_0603"	"R0603"	"R613"	"Chip Resistor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/passives/AOA0000C283.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Panasonic"	"ERJ-3EKF4701V"	""	""	""	""	""	""	""	""	""	""	""	"1/10W"	""	""	"1.0A"	""	""	""	""	""	""	""	""	""	""	""	"1%"	""	"4.7k"	""	"Digi-key"	"P4.70KHCT-ND"	""	""	""	""	""	""	""	""	""
"1"	"PB"	"PB-TACTILE-4P_B3F-1000_PTH"	"TACTILE-PTH"	"S301"	"Tactile Switch (PushButton), SPST-NO MoM ,Top Actuated, Through Hole, 4pins"	""	"4.3mm"	"TOP"	"SPST-NO"	""	""	""	"0.05A @ 24VDC"	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/wdt_reset/en-b3f.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Omron"	"B3F-1000"	""	"TH"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"OFF-MOM"	""	""	""	""	""	"PB"	""	"Digi-key"	"SW400-ND"	""	""	""	""	""	""	""	""	""
"5"	""	"TEST_POINT_TH_D102_R"	"TP_TH102"	"TP301, TP401, TP402, TP403, TP601"	"Test Point (various sizes)"	""	""	""	""	"YES"	"RED"	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/test_points/5115-5119.PDF"	""	""	"2.54mm"	"1.02mm"	""	""	""	""	""	"3.05mm"	"4.57mm"	"YES"	""	""	"Keystone"	"5000"	""	""	"VERTICAL"	"TH"	""	""	""	""	""	"SILVER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Digi-key"	"36-5000-ND"	""	""	""	""	""	""	""	""	""
"2"	""	"TEST_POINT_TH_D102_B"	"TP_TH102"	"TP302, TP604"	"Test Point (various sizes)"	""	""	""	""	"YES"	"BLACK"	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/test_points/5115-5119.PDF"	""	""	"2.54mm"	"1.02mm"	""	""	""	""	""	"3.05mm"	"4.57mm"	"YES"	""	""	"Keystone"	"5001"	""	""	"VERTICAL"	"TH"	""	""	""	""	""	"SILVER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Digi-key"	"36-5001-ND"	""	""	""	""	""	""	""	""	""
"12"	""	"TEST_POINT_SMT_20R_SMD"	"TP20R"	"TP303, TP501, TP502, TP503, TP504, TP505, TP508, TP509, TP510, TP511, TP512, TP513"	"Test Point (various sizes)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"14"	""	"TEST_POINT_SMT_15R_SMD"	"TP15R"	"TP304, TP404, TP506, TP507, TP605, TP606, TP607, TP608, TP609, TP610, TP611, TP612, TP613, TP614"	"Test Point (various sizes)"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1"	""	"TEST_POINT_TH_D102_W"	"TP_TH102"	"TP602"	"Test Point (various sizes)"	""	""	""	""	"YES"	"WHITE"	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/test_points/5115-5119.PDF"	""	""	"2.54mm"	"1.02mm"	""	""	""	""	""	"3.05mm"	"4.57mm"	"YES"	""	""	"Keystone"	"5002"	""	""	"VERTICAL"	"TH"	""	""	""	""	""	"SILVER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Digi-key"	"36-5002-ND"	""	""	""	""	""	""	""	""	""
"1"	""	"TEST_POINT_TH_D102_Y"	"TP_TH102"	"TP603"	"Test Point (various sizes)"	""	""	""	""	"YES"	"YELLOW"	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/connectors/test_points/5115-5119.PDF"	""	""	"2.54mm"	"1.02mm"	""	""	""	""	""	"3.05mm"	"4.57mm"	"YES"	""	""	"Keystone"	"5004"	""	""	"VERTICAL"	"TH"	""	""	""	""	""	"SILVER"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Digi-key"	"36-5004-ND"	""	""	""	""	""	""	""	""	""
"1"	"MCP73831T-2AC"	"MCP73831T-2ACI/OT"	"SOT23P110X060-5N"	"U301"	"IC, BATT CHARGER, Li-Ion Li-Polymer, 500 mA"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/charger/20001984g.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Microchip"	"MCP73831T-2ACI/OT"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MCP73831T-2AC"	""	"Digi-key"	"MCP73831T-2ACI/OTCT-ND"	""	""	""	""	""	""	""	""	""
"1"	"MAX6371"	"MAX63XX71KA_SOT23"	"SOT23P130X045-8N"	"U302"	"Pin-Selectable Watchdog Timer"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/wdt_reset/MAX6369-MAX6374.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Maxim"	"MAX6371KA+T"	""	""	""	""	"Low"	"120us (min)"	""	"Open Drain"	""	""	""	""	""	""	""	""	""	""	""	""	""	"60s"	""	""	""	"Adjustable (up to 60s)"	""	""	"MAX6371"	""	"Digikey"	"MAX6371KA+TCT-ND"	""	""	""	""	""	""	""	""	""
"1"	"TPS61232"	"TPS61232"	"DRC0010G"	"U402"	"Boost Switching Regulator IC Positive Fixed 5V 1 Output 4A (Switch) 10-VFDFN Exposed Pad"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/boost_approved/tps61232.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Texas Instruments"	"TPS61232DRCR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TPS61232"	""	"Digi-key"	"296-44498-1-ND"	""	""	""	""	""	""	""	""	""
"2"	"PCT2075D,118"	"PCT2075D,118SOIC8"	"SOIC127P130X0600-8N"	"U501, U502"	"I2C-bus Fm+, 1 degree C accuracy, digital temperature sensor and thermal watchdog"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/sensors/PCT2075.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	"I2C"	""	"NXP"	"PCT2075D,118"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"10b"	""	""	""	""	""	""	""	""	""	""	""	"PCT2075D,118"	""	"Digi-key"	"568-10219-1-ND"	""	""	""	""	""	""	""	""	""
"1"	"INA219AIDCNR"	"INA219AIDCNR"	"SOT65P110X045-8N"	"U504"	"26-V, Bidirectional, Zero-Drift, High-Side, I2C Out Current/Power Monitor"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/sensors/ina219.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Texas Instruments"	"INA219AIDCNR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"INA219AIDCNR"	""	"Digi-key"	"296-23770-1-ND"	""	""	""	""	""	""	""	""	""
"1"	"LSM9DS1TR"	"LSM9DS1TR_LGA24"	"LGA043P045X033-24N"	"U505"	"iNEMO inertial module: 3D accelerometer, 3D gyroscope, 3D magnetometer"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/sensors/en.DM00103319.pdf"	""	""	""	""	""	""	""	""	"Accelerometer, Gyroscope, Magnetometer"	""	""	""	"I2C/SPI"	""	"STMicro"	"LSM9DS1TR"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"LSM9DS1TR"	""	"Digi-key"	"497-14946-1-ND"	""	""	""	""	""	""	""	""	""
"1"	"MS560702BA03-50"	"MS5607-02BA03_8SMD"	"SMD125P110X060-8N"	"U506"	"Barometric Pressure Sensor, with stainless steel cap"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/sensors/ENG_DS_MS5607-02BA03_B.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	"I2C,SPI"	""	"TE Connectivity"	"MS560702BA03-50"	""	""	""	""	""	""	"24b"	""	""	""	""	""	""	"Absolute"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MS560702BA03-50"	""	"Digi-key"	"223-1198-1-ND"	""	""	""	""	""	""	""	""	""
"1"	"MS580305BA01"	"MS5803-05BA_8SMD"	"SMD125130P225X090-8N"	"U507"	"MS5803-05BA"	""	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/sensors/ENG_DS_MS5803-05BA_B.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	"I2C,SPI"	""	"TE Connectivity"	"MS580305BA01-00"	""	""	""	""	""	""	"24b"	""	""	""	""	""	""	"Absolute"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"MS580305BA01"	""	"Digi-key"	"223-1625-5-ND"	""	""	""	""	""	""	""	""	""
"1"	"SI7021"	"SI7021-A20-IM_DFN6"	"DFN-100P085X045-T-6N"	"U508"	"I2C HUMIDITY AND TEMPERATURE SENSOR"	"3%_RH"	""	""	""	""	""	""	""	""	""	""	""	"HW/docs/projects/raspi_zero_power_sensor_hat/datasheets/sensors/Si7021-A20.pdf"	""	""	""	""	""	""	""	""	""	""	""	""	"I2C"	""	"Silicon Labs"	"SI7021-A20-IM"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"18s"	""	""	""	""	""	""	""	""	""	""	"SI7021"	""	"Digi-key"	"336-3142-5-ND"	""	""	""	""	""	""	""	""	""
