Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Type","Material - Core","Inductance","Tolerance","Current Rating","Current - Saturation","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Frequency - Test","Mounting Type","Package / Case","Size / Dimension","Height - Seated (Max)"
https://industrial.panasonic.com/cdbs/www-data/pdf/AGL0000/AGL0000C49.pdf,//media.digikey.com/Renders/Panasonic%20Renders/PCC-M0854M%20Series.jpg,P17079CT-ND,ETQ-P4M4R7YFP,Panasonic Electronic Components,FIXED IND 4.7UH 4.8A 39.6 MOHM,95,0,"1.68000","0","1","Cut Tape (CT)","PCC-M0540M","Active","Wirewound","Metal Composite","4.7µH","±20%","4.8A","7.7A","Shielded","39.6 mOhm Max","-","-","AEC-Q200","-40°C ~ 150°C","100kHz","Surface Mount","2-SMD, J-Lead","0.217"" L x 0.197"" W (5.50mm x 5.00mm)","0.157"" (4.00mm)"
http://www.vishay.com/docs/34172/lm25cz01.pdf,//media.digikey.com/Renders/Vishay%20Dale%20Renders/IHLP%20216l204w.jpg,541-2565-1-ND,IHLM2525CZER4R7M01,Vishay Dale,FIXED IND 4.7UH 5.5A 40 MOHM SMD,1539,0,"1.84000","0","1","Cut Tape (CT)","IHLM-2525CZ-01","Active","-","-","4.7µH","±20%","5.5A","10A","Shielded","40 mOhm Max","-","-","-","-55°C ~ 125°C","100kHz","Surface Mount","Nonstandard","0.270"" L x 0.255"" W (6.86mm x 6.47mm)","0.118"" (3.00mm)"
http://productfinder.pulseeng.com/products/datasheets/P682.pdf,//media.digikey.com/Photos/Pulse%20Photos/PG0871.472NLT.JPG,553-2169-1-ND,PG0871.472NLT,Pulse Electronics Corporation,FIXED IND 4.7UH 6.7A 17 MOHM SMD,1467,0,"2.21000","0","1","Cut Tape (CT)","PG0871NL","Active","Wirewound","-","4.7µH","±20%","6.7A","9.3A","Shielded","17 mOhm","-","-","-","-40°C ~ 130°C","-","Surface Mount","Nonstandard","0.299"" L x 0.291"" W (7.60mm x 7.40mm)","0.252"" (6.40mm)"
http://katalog.we-online.de/pbs/datasheet/74437356047.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_WE-LHMI.jpg,732-7203-1-ND,74437356047,Wurth Electronics Inc,FIXED IND 4.7UH 6.2A 34.2 MOHM,1758,0,"2.30000","0","1","Cut Tape (CT)","WE-LHMI","Active","Wirewound","Powdered Iron","4.7µH","±20%","6.2A","11A","Shielded","34.2 mOhm Max","-","16MHz","-","-40°C ~ 125°C","100kHz","Surface Mount","Nonstandard","0.362"" L x 0.335"" W (9.20mm x 8.50mm)","0.118"" (3.00mm)"
http://katalog.we-online.de/pbs/datasheet/74437358047.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/74437368100.JPG,732-7210-1-ND,74437358047,Wurth Electronics Inc,FIXED IND 4.7UH 7.2A 22.6 MOHM,1517,0,"2.30000","0","1","Cut Tape (CT)","WE-LHMI","Active","Wirewound","Powdered Iron","4.7µH","±20%","7.2A","17A","Shielded","22.6 mOhm Max","-","19MHz","-","-40°C ~ 125°C","100kHz","Surface Mount","Nonstandard","0.362"" L x 0.335"" W (9.20mm x 8.50mm)","0.157"" (4.00mm)"
http://katalog.we-online.de/pbs/datasheet/74437349047.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/74437349015.jpg,732-3354-1-ND,74437349047,Wurth Electronics Inc,FIXED IND 4.7UH 5A 30.8 MOHM SMD,794,0,"2.46000","0","1","Cut Tape (CT)","WE-LHMI","Active","Wirewound","Powdered Iron","4.7µH","±20%","5A","11A","Shielded","30.8 mOhm Max","-","24MHz","-","-40°C ~ 125°C","100kHz","Surface Mount","Nonstandard","0.287"" L x 0.260"" W (7.30mm x 6.60mm)","0.197"" (5.00mm)"
http://katalog.we-online.de/pbs/datasheet/7443340470.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/7443340030.jpg,732-4181-1-ND,7443340470,Wurth Electronics Inc,FIXED IND 4.7UH 7.5A 12.4 MOHM,618,0,"2.47000","0","1","Cut Tape (CT)","WE-HCC","Active","Wirewound","Ferrite","4.7µH","±20%","7.5A","8A","Shielded","13.5 mOhm Max","-","45MHz","-","-40°C ~ 125°C","100kHz","Surface Mount","Nonstandard","0.331"" L x 0.311"" W (8.40mm x 7.90mm)","0.295"" (7.50mm)"
http://katalog.we-online.de/pbs/datasheet/744316470.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/MFG_744316.jpg,732-6182-1-ND,744316470,Wurth Electronics Inc,FIXED IND 4.7UH 4.6A 24.5 MOHM,3208,0,"2.55000","0","1","Cut Tape (CT)","WE-HCI","Active","Wirewound","-","4.7µH","±20%","4.6A","4.7A","Shielded","24.5 mOhm Max","-","57MHz","-","-40°C ~ 150°C","100kHz","Surface Mount","2-SMD","0.217"" L x 0.209"" W (5.50mm x 5.30mm)","0.169"" (4.30mm)"
http://www.vishay.com/docs/34362/lp25cz8a.pdf,//media.digikey.com/Photos/Vishay%20Dale%20Photos/IHLP2525CZERxxxM8A.jpg,541-2261-1-ND,IHLP2525CZER4R7M8A,Vishay Dale,FIXED IND 4.7UH 5.6A 38.4 MOHM,692,0,"2.55000","0","1","Cut Tape (CT)","IHLP-2525CZ-8A","Active","Molded","-","4.7µH","±20%","5.6A","5.6A","Shielded","38.4 mOhm Max","-","25.5MHz","AEC-Q200","-55°C ~ 180°C","100kHz","Surface Mount","Nonstandard","0.270"" L x 0.255"" W (6.86mm x 6.47mm)","0.118"" (3.00mm)"
http://www1.cooperbussmann.com/pdf/4d2f191a-bcae-4f36-bce8-f2486171edfb.pdf,//media.digikey.com/photos/Coiltronics%20Photos/HCP0704-4R7-R.JPG,513-1645-1-ND,HCP0704-4R7-R,Eaton,FIXED IND 4.7UH 5A 29.5 MOHM SMD,785,0,"2.66000","0","1","Cut Tape (CT)","HCP0704","Active","Wirewound","Powdered Iron","4.7µH","±25%","5A","8A","Shielded","29.5 mOhm","-","-","-","-40°C ~ 155°C","100kHz","Surface Mount","Nonstandard","0.268"" L x 0.268"" W (6.80mm x 6.80mm)","0.157"" (4.00mm)"
http://katalog.we-online.de/pbs/datasheet/744311470.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/WE-HCI-SERIES-0.276-x-0.272-x-0.jpg,732-1153-1-ND,744311470,Wurth Electronics Inc,FIXED IND 4.7UH 6A 19.5 MOHM SMD,6520,0,"3.56000","0","1","Cut Tape (CT)","WE-HCI","Active","Wirewound","-","4.7µH","±20%","6A","7A","Shielded","19.5 mOhm","-","33MHz","-","-40°C ~ 150°C","100kHz","Surface Mount","Nonstandard","0.272"" L x 0.272"" W (6.90mm x 6.90mm)","0.157"" (4.00mm)"
http://katalog.we-online.de/pbs/datasheet/74439358047.pdf,//media.digikey.com/Photos/Wurth%20Electronics%20Photos/74439358047.JPG,732-7275-1-ND,74439358047,Wurth Electronics Inc,FIXED IND 4.7UH 9.5A 8.65 MOHM,1500,0,"4.52000","0","1","Cut Tape (CT)","WE-XHMI","Active","Wirewound","Metal Composite","4.7µH","±20%","9.5A","20.5A","Shielded","8.65 mOhm","-","25MHz","-","-40°C ~ 125°C","100kHz","Surface Mount","Nonstandard","0.346"" L x 0.327"" W (8.80mm x 8.30mm)","0.315"" (8.00mm)"
